ID,Product Name,Product Category,Unit Price
1,Alice Mutton,Meat/Poultry,£39.00
2,Aniseed Syrup,Condiments,£10.00
3,Boston Crab Meat,Seafood,£18.40
4,Camembert Pierrot,Dairy Products,£34.00
5,Carnarvon Tigers,Seafood,£62.50
6,Chai,Beverages,£18.00
7,Chang,Beverages,£19.00
8,Chartreuse verte,Beverages,£18.00
9,Chef Anton's Cajun Seasoning,Condiments,£22.00
10,Chef Anton's Gumbo Mix,Condiments,£21.35
11,Chocolade,Confections,£12.75
12,Côte de Blaye,Beverages,£263.50
13,Escargots de Bourgogne,Seafood,£13.25
14,Filo Mix,Grains/Cereals,£7.00
15,Fløtemysost,Dairy Products,£21.50
16,Geitost,Dairy Products,£2.50
17,Genen Shouyu,Condiments,£15.50
18,Gnocchi di nonna Alice,Grains/Cereals,£38.00
19,Gorgonzola Telino,Dairy Products,£12.50
20,Grandma's Boysenberry Spread,Condiments,£25.00
21,Gravad lax,Seafood,£26.00
22,Guaraná Fantástica,Beverages,£4.50
23,Gudbrandsdalsost,Dairy Products,£36.00
24,Gula Malacca,Condiments,£19.45
25,Gumbär Gummibärchen,Confections,£31.23
26,Gustaf's Knäckebröd,Grains/Cereals,£21.00
27,Ikura,Seafood,£31.00
28,Inlagd Sill,Seafood,£19.00
29,Ipoh Coffee,Beverages,£46.00
30,Jack's New England Clam Chowder,Seafood,£9.65
31,Konbu,Seafood,£6.00
32,Lakkalikööri,Beverages,£18.00
33,Laughing Lumberjack Lager,Beverages,£14.00
34,Longlife Tofu,Produce,£10.00
35,Louisiana Fiery Hot Pepper Sauce,Condiments,£21.05
36,Louisiana Hot Spiced Okra,Condiments,£17.00
37,Manjimup Dried Apples,Produce,£53.00
38,Mascarpone Fabioli,Dairy Products,£32.00
39,Maxilaku,Confections,£20.00
40,Mishi Kobe Niku,Meat/Poultry,£97.00
41,Mozzarella di Giovanni,Dairy Products,£34.80
42,Nord-Ost Matjeshering,Seafood,£25.89
43,Northwoods Cranberry Sauce,Condiments,£40.00
44,NuNuCa Nuß-Nougat-Creme,Confections,£14.00
45,Original Frankfurter grüne Soße,Condiments,£13.00
46,Outback Lager,Beverages,£15.00
47,Pâté chinois,Meat/Poultry,£24.00
48,Pavlova,Confections,£17.45
49,Perth Pasties,Meat/Poultry,£32.80
50,Queso Cabrales,Dairy Products,£21.00
51,Queso Manchego La Pastora,Dairy Products,£38.00
52,Raclette Courdavault,Dairy Products,£55.00
53,Ravioli Angelo,Grains/Cereals,£19.50
54,Rhönbräu Klosterbier,Beverages,£7.75
55,Röd Kaviar,Seafood,£15.00
56,Røgede sild,Seafood,£9.50
57,Rössle Sauerkraut,Produce,£45.60
58,Sasquatch Ale,Beverages,£14.00
59,Schoggi Schokolade,Confections,£43.90
60,Scottish Longbreads,Confections,£12.50
61,Singaporean Hokkien Fried Mee,Grains/Cereals,£14.00
62,Sir Rodney's Marmalade,Confections,£81.00
63,Sir Rodney's Scones,Confections,£10.00
64,Sirop d'érable,Condiments,£28.50
65,Spegesild,Seafood,£12.00
66,Steeleye Stout,Beverages,£18.00
67,Tarte au sucre,Confections,£49.30
68,Teatime Chocolate Biscuits,Confections,£9.20
69,Thüringer Rostbratwurst,Meat/Poultry,£123.79
70,Tofu,Produce,£23.25
71,Tourtière,Meat/Poultry,£7.45
72,Tunnbröd,Grains/Cereals,£9.00
73,Uncle Bob's Organic Dried Pears,Produce,£30.00
74,Valkoinen suklaa,Confections,£16.25
75,Vegie-spread,Condiments,£43.90
76,Wimmers gute Semmelknödel,Grains/Cereals,£33.25
77,Zaanse koeken,Confections,£9.50
