Order ID,Order Date,Customer ID,Product ID,Units Sold,Total Sales
15352,16-Mar-18,E1083,30,5,£48.25
8156,11-Apr-18,E1086,63,10,£100.00
48406,26-Jun-16,E1008,21,12,£312.00
70967,24-Nov-17,E1076,40,40,"£3,880.00"
70148,12-Aug-16,E1047,72,9,£81.00
55712,21-Oct-17,E1043,54,35,£271.25
29515,06-Jun-16,E1025,75,10,£439.00
10798,15-Jun-15,E1089,73,15,£450.00
66624,09-Feb-17,E1015,13,6,£79.50
52344,09-Apr-15,E1071,72,20,£180.00
44789,02-Aug-16,E1034,19,15,£187.50
66297,10-Jul-16,E1032,75,25,"£1,097.50"
22902,17-May-18,E1061,74,40,£650.00
31398,22-Apr-18,E1062,70,40,£930.00
81231,12-May-17,E1048,65,42,£504.00
25714,13-Apr-18,E1009,21,20,£520.00
35439,20-Jul-17,E1060,52,40,"£2,200.00"
38971,21-Feb-17,E1046,15,21,£451.50
16828,09-Aug-15,E1004,29,21,£966.00
23000,07-Oct-18,E1002,18,15,£570.00
49143,04-Apr-16,E1041,20,20,£500.00
39129,11-Sep-17,E1086,40,30,"£2,910.00"
42764,01-Jan-17,E1087,77,35,£332.50
64018,12-Oct-18,E1073,23,25,£900.00
61474,16-Apr-16,E1055,44,15,£210.00
8843,01-Oct-18,E1022,68,12,£110.40
59642,25-Feb-15,E1049,28,25,£475.00
5594,18-Apr-16,E1043,13,6,£79.50
71555,02-Dec-18,E1075,50,15,£315.00
88298,24-Mar-15,E1025,69,65,"£8,046.35"
23761,05-Jan-16,E1054,56,50,£475.00
59361,04-Jan-15,E1052,57,6,£273.60
30795,15-Jan-15,E1013,42,10,£258.90
75618,12-Jan-17,E1051,61,1,£14.00
88982,27-Mar-17,E1028,42,21,£543.69
86490,08-Feb-18,E1021,53,50,£975.00
31357,28-Aug-17,E1002,9,15,£330.00
88666,22-Jul-18,E1027,75,16,£702.40
73915,14-Mar-16,E1031,62,20,"£1,620.00"
89734,05-Sep-17,E1018,4,20,£680.00
65514,04-Dec-17,E1024,5,12,£750.00
21628,28-Jun-15,E1024,2,15,£150.00
17365,19-Oct-16,E1076,12,2,£527.00
79261,08-Oct-16,E1060,73,60,"£1,800.00"
26314,22-Oct-18,E1036,9,60,"£1,320.00"
64972,24-Sep-18,E1067,70,28,£651.00
16415,17-Mar-18,E1062,41,36,"£1,252.80"
49535,08-Mar-17,E1077,12,35,"£9,222.50"
83567,05-Apr-15,E1068,69,25,"£3,094.75"
36726,14-May-18,E1010,17,30,£465.00
83732,11-Nov-16,E1070,74,20,£325.00
36630,25-May-18,E1073,38,12,£384.00
35885,28-Aug-15,E1077,2,15,£150.00
66628,13-Aug-16,E1030,60,50,£625.00
67736,23-Mar-15,E1043,75,70,"£3,073.00"
77057,17-Jan-16,E1071,31,4,£24.00
87457,24-Sep-17,E1081,4,10,£340.00
18328,24-Feb-15,E1019,68,20,£184.00
8791,12-Jun-17,E1037,31,60,£360.00
54555,24-Sep-16,E1030,33,30,£420.00
46823,28-Oct-17,E1048,45,25,£325.00
63010,17-Nov-17,E1007,75,24,"£1,053.60"
66494,20-Sep-16,E1070,62,40,"£3,240.00"
10380,27-Mar-15,E1050,15,6,£129.00
48434,11-Sep-18,E1078,33,24,£336.00
49301,10-Feb-17,E1019,2,60,£600.00
14894,08-Mar-16,E1014,11,20,£255.00
30193,25-Nov-15,E1080,19,15,£187.50
31390,01-Sep-16,E1048,51,24,£912.00
81128,31-May-18,E1067,65,33,£396.00
49965,01-Sep-18,E1059,37,20,"£1,060.00"
65904,13-Jan-18,E1064,68,7,£64.40
79037,15-Dec-18,E1086,26,12,£252.00
13792,21-Sep-16,E1070,48,6,£104.70
24466,20-Nov-16,E1045,58,15,£210.00
58810,17-Sep-16,E1039,75,10,£439.00
41711,03-May-16,E1041,8,20,£360.00
42028,17-Apr-18,E1084,12,12,"£3,162.00"
11910,23-May-18,E1032,20,15,£375.00
77997,19-Nov-15,E1083,31,25,£150.00
46788,15-Apr-15,E1044,28,16,£304.00
79629,17-Feb-17,E1021,61,8,£112.00
18903,13-Feb-16,E1006,42,15,£388.35
52873,16-Nov-18,E1064,2,20,£200.00
56257,20-Sep-16,E1035,42,30,£776.70
65488,30-Sep-15,E1040,13,12,£159.00
58385,27-Sep-18,E1003,7,6,£114.00
88730,29-May-16,E1031,49,4,£131.20
55944,05-May-17,E1020,63,1,£10.00
25692,29-Aug-17,E1021,3,2,£36.80
24349,24-May-16,E1086,24,6,£116.70
9718,19-Apr-18,E1068,3,18,£331.20
46570,26-Nov-18,E1033,61,35,£490.00
56629,11-Dec-17,E1079,27,20,£620.00
29377,19-Jul-18,E1003,63,3,£30.00
87219,08-May-15,E1055,48,5,£87.25
7227,19-Sep-17,E1028,21,21,£546.00
85635,29-Mar-18,E1083,43,20,£800.00
72306,22-Jul-15,E1049,75,15,£658.50
27922,19-Jan-16,E1024,44,45,£630.00
26293,05-Jun-15,E1033,30,40,£386.00
18015,27-Jan-15,E1007,73,36,"£1,080.00"
82065,26-Aug-18,E1025,26,40,£840.00
29958,03-Nov-18,E1028,42,100,"£2,589.00"
55277,23-Jul-17,E1038,23,15,£540.00
10141,13-Nov-15,E1083,23,40,"£1,440.00"
36819,05-Oct-17,E1054,77,20,£190.00
81664,26-Mar-17,E1001,20,3,£75.00
59256,02-Jan-16,E1020,20,10,£250.00
75907,21-Aug-15,E1073,4,30,"£1,020.00"
57446,15-Mar-17,E1022,30,9,£86.85
36482,08-May-17,E1044,63,10,£100.00
31924,19-Dec-16,E1062,39,15,£300.00
80915,13-Jul-16,E1027,25,15,£468.45
77763,12-Jan-17,E1043,20,20,£500.00
30870,24-Jun-16,E1036,13,24,£318.00
65286,26-May-15,E1019,43,20,£800.00
47028,15-Mar-16,E1061,24,2,£38.90
51708,14-Oct-17,E1074,71,20,£149.00
70847,14-May-17,E1012,17,12,£186.00
47837,09-Oct-17,E1006,62,6,£486.00
11990,06-Sep-17,E1041,50,10,£210.00
70132,12-Aug-17,E1069,68,5,£46.00
43281,12-Aug-15,E1010,76,21,£698.25
79162,21-Dec-15,E1025,58,6,£84.00
68961,30-Sep-17,E1012,23,18,£648.00
81845,30-Jul-15,E1064,43,15,£600.00
17960,31-Jul-16,E1057,32,15,£270.00
67432,08-Dec-17,E1082,67,4,£197.20
47147,29-Oct-16,E1080,34,15,£150.00
37547,29-May-15,E1036,47,12,£288.00
24899,02-Oct-17,E1025,43,30,"£1,200.00"
43594,03-Aug-16,E1010,26,20,£420.00
52473,05-Oct-17,E1003,57,60,"£2,736.00"
48602,25-Oct-15,E1073,4,40,"£1,360.00"
81099,06-Jul-16,E1065,76,40,"£1,330.00"
11505,02-Dec-15,E1066,5,15,£937.50
46442,25-Apr-18,E1005,16,30,£75.00
47350,15-Dec-17,E1034,9,20,£440.00
39113,14-Dec-17,E1022,66,15,£270.00
47983,20-Jan-18,E1046,71,20,£149.00
83649,24-Dec-15,E1043,32,30,£540.00
38120,30-Sep-18,E1073,1,20,£780.00
89784,05-Jan-18,E1026,47,10,£240.00
65977,23-Apr-18,E1039,17,12,£186.00
89679,30-Nov-16,E1044,57,28,"£1,276.80"
72896,30-Nov-15,E1071,3,40,£736.00
55152,12-Aug-16,E1052,65,30,£360.00
75132,09-Mar-17,E1057,17,40,£620.00
49935,29-Mar-18,E1085,33,15,£210.00
49431,13-Sep-16,E1023,67,30,"£1,479.00"
34489,22-Jan-17,E1044,52,10,£550.00
67268,27-Mar-18,E1032,73,2,£60.00
88448,22-Aug-18,E1033,12,30,"£7,905.00"
79432,29-Sep-16,E1077,13,25,£331.25
54116,01-Jul-16,E1004,7,25,£475.00
64222,03-Apr-16,E1012,23,10,£360.00
54519,23-Feb-15,E1057,31,10,£60.00
49183,13-Apr-18,E1078,6,5,£90.00
40779,16-Jul-16,E1070,49,10,£328.00
27208,20-Jul-17,E1006,20,3,£75.00
31288,22-Jun-15,E1040,26,5,£105.00
10245,26-Aug-16,E1010,26,1,£21.00
89640,06-Aug-15,E1030,17,2,£31.00
12548,06-Nov-16,E1025,52,20,"£1,100.00"
77090,05-Jun-18,E1026,52,30,"£1,650.00"
84807,31-Aug-15,E1045,22,20,£90.00
45093,12-Aug-16,E1074,47,3,£72.00
27100,11-Oct-15,E1072,5,10,£625.00
65854,17-May-18,E1054,3,5,£92.00
88887,29-Aug-18,E1060,12,7,"£1,844.50"
58632,02-Sep-16,E1040,75,6,£263.40
35732,06-Dec-16,E1024,65,10,£120.00
7825,27-Dec-16,E1081,6,4,£72.00
63189,09-Feb-18,E1042,22,24,£108.00
69600,05-Jun-15,E1085,70,20,£465.00
37665,04-Sep-18,E1055,43,12,£480.00
88355,30-Apr-16,E1081,11,25,£318.75
21485,15-Jun-17,E1009,39,30,£600.00
9655,21-Jan-18,E1033,57,40,"£1,824.00"
30798,21-Apr-16,E1046,48,30,£523.50
16669,27-Jan-15,E1001,12,14,"£3,689.00"
17680,04-Jun-17,E1074,16,70,£175.00
44230,02-Aug-15,E1030,48,10,£174.50
78796,19-Dec-16,E1016,53,20,£390.00
9894,22-Jun-15,E1058,34,20,£200.00
15151,11-Apr-17,E1039,48,6,£104.70
18934,06-Sep-15,E1004,53,8,£156.00
52181,26-Mar-18,E1045,31,14,£84.00
21127,07-Aug-17,E1028,34,30,£300.00
35507,19-Aug-17,E1064,43,30,"£1,200.00"
71894,08-Apr-18,E1004,2,10,£100.00
20455,12-Jun-18,E1045,23,20,£720.00
76764,03-Nov-17,E1063,44,4,£56.00
71657,01-May-17,E1044,31,5,£30.00
9887,27-Sep-15,E1007,42,4,£103.56
31045,27-May-16,E1003,64,30,£855.00
69193,30-Dec-18,E1074,20,80,"£2,000.00"
9305,30-Dec-16,E1080,19,40,£500.00
25377,04-Jul-18,E1025,57,21,£957.60
34277,29-Dec-17,E1052,66,70,"£1,260.00"
47194,23-Aug-18,E1069,76,9,£299.25
28917,24-Jun-17,E1062,29,6,£276.00
25494,25-Sep-18,E1089,5,40,"£2,500.00"
7500,01-Oct-16,E1029,31,4,£24.00
58242,15-Jan-16,E1022,21,12,£312.00
59812,09-Jan-17,E1017,17,16,£248.00
27485,02-May-18,E1058,53,24,£468.00
34466,28-Oct-17,E1025,16,50,£125.00
23225,30-Jan-16,E1046,3,50,£920.00
59588,28-May-15,E1048,9,25,£550.00
34846,30-Mar-18,E1013,8,35,£630.00
53576,09-Jan-15,E1016,66,30,£540.00
38196,18-Jan-15,E1001,72,9,£81.00
49792,01-Jan-17,E1041,20,40,"£1,000.00"
34709,26-Jun-15,E1072,4,10,£340.00
65860,30-Jun-16,E1024,25,12,£374.76
63228,10-May-18,E1047,40,20,"£1,940.00"
31200,26-Jan-18,E1021,55,8,£120.00
54890,11-Dec-15,E1069,22,10,£45.00
47799,26-Jun-17,E1060,70,50,"£1,162.50"
71061,13-Sep-18,E1049,7,25,£475.00
68143,31-May-18,E1055,9,15,£330.00
85817,20-Jan-15,E1012,64,16,£456.00
66620,16-Apr-16,E1031,50,10,£210.00
35867,14-Sep-15,E1033,11,40,£510.00
9874,26-Jun-15,E1030,2,40,£400.00
62094,28-Mar-16,E1031,48,10,£174.50
8806,02-Nov-16,E1054,56,10,£95.00
76633,19-Nov-15,E1012,23,8,£288.00
71053,30-Nov-17,E1055,71,10,£74.50
36355,28-Mar-18,E1006,61,6,£84.00
35421,06-May-18,E1068,28,25,£475.00
28118,15-Sep-18,E1025,46,7,£105.00
39988,03-Feb-18,E1068,38,48,"£1,536.00"
16165,16-Sep-16,E1036,11,18,£229.50
11564,09-Feb-17,E1019,7,40,£760.00
65527,25-Sep-15,E1012,33,24,£336.00
72083,19-Jun-15,E1047,70,20,£465.00
64854,18-Nov-16,E1076,14,28,£196.00
24783,23-Feb-15,E1024,75,25,"£1,097.50"
23455,14-Oct-15,E1088,31,15,£90.00
79975,10-Sep-15,E1086,75,20,£878.00
6600,31-Jan-15,E1022,21,70,"£1,820.00"
23918,13-Jul-16,E1024,63,28,£280.00
57133,16-Jul-18,E1032,36,10,£170.00
25165,22-Sep-16,E1075,15,20,£430.00
38171,24-Apr-16,E1024,14,40,£280.00
7807,21-Jan-18,E1001,17,12,£186.00
34513,22-Jul-17,E1027,67,9,£443.70
49244,11-Nov-17,E1069,69,8,£990.32
37293,28-Jun-17,E1028,66,40,£720.00
31584,06-Apr-18,E1058,30,24,£231.60
70503,27-May-17,E1043,68,40,£368.00
66887,13-Jan-15,E1088,10,56,"£1,195.60"
16193,27-Jan-18,E1064,22,15,£67.50
5195,27-May-18,E1066,4,4,£136.00
19769,07-Sep-15,E1080,23,50,"£1,800.00"
39050,30-Jun-17,E1019,68,35,£322.00
50501,15-Oct-18,E1019,5,70,"£4,375.00"
76756,11-May-18,E1004,43,70,"£2,800.00"
24637,28-Apr-17,E1012,47,80,"£1,920.00"
81478,25-Jan-16,E1025,3,9,£165.60
14528,12-Apr-16,E1071,9,36,£792.00
45113,23-Nov-18,E1006,60,20,£250.00
14508,06-May-17,E1007,13,10,£132.50
31468,07-Jan-18,E1068,38,6,£192.00
67343,18-Feb-17,E1011,72,4,£36.00
40623,09-Apr-15,E1057,67,50,"£2,465.00"
5063,07-Jul-16,E1045,54,15,£116.25
34392,10-Jul-18,E1086,57,25,"£1,140.00"
49782,09-Oct-15,E1079,68,24,£220.80
73443,15-Mar-15,E1013,60,15,£187.50
65119,01-Nov-15,E1012,32,18,£324.00
75550,28-Feb-15,E1059,19,20,£250.00
28582,25-Jul-16,E1087,30,77,£743.05
77117,11-Sep-15,E1015,20,10,£250.00
12395,25-Aug-17,E1016,61,13,£182.00
88656,15-Jun-15,E1048,55,20,£300.00
